category,source,target,expected_sha256,actual_sha256,exists,result
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/docs/KIT-INICIAL-REPOSITORIO-AI-STORYLAB.md,f3b12e855d50fa2e9d2de0d8786c21250460af5289c7f904f53e950053f43987,f3b12e855d50fa2e9d2de0d8786c21250460af5289c7f904f53e950053f43987,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/docs/guia-estudiante.md,f9340dc6be5e93024872ee7b4d0ad218b256964f5484dc87d37a65ab696fc5ed,f9340dc6be5e93024872ee7b4d0ad218b256964f5484dc87d37a65ab696fc5ed,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/docs/guia-facilitador.md,5e0a64d78a28a9f0c7b9a694850786e463bb816da91b08465cc9a778771fe783,5e0a64d78a28a9f0c7b9a694850786e463bb816da91b08465cc9a778771fe783,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/governance/AI_USAGE_POLICY.md,a62ae613a359ca3e79e774ccce28d40a338158e3be39433d4d4b1c3dcfcfbac6,a62ae613a359ca3e79e774ccce28d40a338158e3be39433d4d4b1c3dcfcfbac6,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/governance/CONTRIBUTING.md,edc0012d318b632d7113ce48daa34dd628241760e38921db41ec93142e6fa744,edc0012d318b632d7113ce48daa34dd628241760e38921db41ec93142e6fa744,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/governance/DECISION_LOG.md,be3d7ad185e58918340ca4450bcb59cbdedd823d9805526f482bb9ececdc0165,be3d7ad185e58918340ca4450bcb59cbdedd823d9805526f482bb9ececdc0165,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/governance/GOVERNANCE.md,399da8a2bed8bc139e3c77f7a55bb8c84e5c70f92365bc8722bab874cda50453,399da8a2bed8bc139e3c77f7a55bb8c84e5c70f92365bc8722bab874cda50453,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/governance/PRIVACY_LOCAL_FIRST.md,75fb74364410fd9062a134cc40ef0c48edf031752e84ebaecc9e5f5657e65c60,75fb74364410fd9062a134cc40ef0c48edf031752e84ebaecc9e5f5657e65c60,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/governance/RELEASE_CRITERIA.md,f868c958ca851eb71c3b467e98354cd6ffb8909cc25379eb42e07989114f8cd9,f868c958ca851eb71c3b467e98354cd6ffb8909cc25379eb42e07989114f8cd9,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/governance/REVIEW_CHECKLIST.md,a30ca00dbd84be258ba96f411818caec90b05c0c7ea4bd1a58497859aedebc15,a30ca00dbd84be258ba96f411818caec90b05c0c7ea4bd1a58497859aedebc15,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/governance/RISK_REGISTER.md,a757a44447bc260cad24ff872e5fa5b3bd718cc49e9c4a214d9d4f75fdfc7373,a757a44447bc260cad24ff872e5fa5b3bd718cc49e9c4a214d9d4f75fdfc7373,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/index.html,9a38883e9f0610e1eef4bc4c46aff5565b34c5ad591e61d7adf9564c9d7868fc,9a38883e9f0610e1eef4bc4c46aff5565b34c5ad591e61d7adf9564c9d7868fc,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/logs/SESSION_LOG_INDEX.md,33fc06137aa379e57f584d2cbc483e97b29d21589c12a14b30ceddac622ad816,33fc06137aa379e57f584d2cbc483e97b29d21589c12a14b30ceddac622ad816,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/logs/session-0001.md,47174078bd4d34394f10d929d4ca1d3428f42c0505d8a8e671937070c058abb0,47174078bd4d34394f10d929d4ca1d3428f42c0505d8a8e671937070c058abb0,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/logs/session-0002.md,a16ef4c204ef821a10b0cdacab90a1a4e6e0dd380da38bbf27377a54a6782f2f,a16ef4c204ef821a10b0cdacab90a1a4e6e0dd380da38bbf27377a54a6782f2f,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/logs/session-0003.md,b8664a59cd78b2798ddee389a7ee6a67a1c254476e354884fb92761fe1d7db69,b8664a59cd78b2798ddee389a7ee6a67a1c254476e354884fb92761fe1d7db69,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/package-lock.json,fe9ecc47480cff03f7de1d158e5da623840ecab2071861194d10b2bba648e839,fe9ecc47480cff03f7de1d158e5da623840ecab2071861194d10b2bba648e839,yes,PASS
C8_ARCHIVE,99_ARCHIVO_HISTORICO/Manifiestos/Inventario_Archivo_Historico_C8_AI_StoryLab_1.csv,99_ARCHIVO_HISTORICO/Versiones_Proyecto/v0_3_pre_N3/source/package.json,23f7b6476820e79d32a82649fedb61a75afce96789255ce2e1a444bf7c3ccba0,23f7b6476820e79d32a82649fedb61a75afce96789255ce2e1a444bf7c3ccba0,yes,PASS
